Campaign name,DMA region,Reach,Amount spent (USD),Link clicks,Unique purchases,Purchases,Purchases conversion value,Reporting starts,Reporting ends
Video Retargeting | Southern US | 4.4.22,Syracuse,1120,252.8411641,18,6,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,"Columbus, OH",1120,22.07010161,1,2,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Chicago,3264,162.240747,24,2,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Cleveland-Akron (Canton),2400,254.1611702,33,2,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Buffalo,576,33.02015203,10,2,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,New York,2880,30.23013918,1,1,,,4/1/22,5/4/22
Prospecting | new markets | 4.11.22,Chicago,50880,967.3495312,4037,1,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Binghamton,192,11.85005456,1,1,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Indianapolis,1952,69.51032003,12,1,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Minneapolis-St. Paul,4320,308.1614188,34,1,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Grand Rapids-Kalmzoo-B.Crk,1312,50.67023329,7,1,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Atlanta,2272,31.74014613,10,1,,,4/1/22,5/4/22
Prospecting | new markets | 4.11.22,Grand Rapids-Kalmzoo-B.Crk,4032,64.91063956,435,1,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Madison,768,9.460043554,1,1,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,"Rochester, NY",800,93.15042887,14,1,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Orlando-Daytona Bch-Melbrn,1056,21.81010041,6,1,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Wilmington,160,0.920004236,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Huntsville-Decatur (Flor),672,1.59000732,2,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Meridian,93,0.140000645,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Spokane,1056,2.100009669,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Miami-Ft. Lauderdale,320,1.550007136,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Hartford & New Haven,960,3.450015884,2,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Ft. Smith-Fay-Sprngdl-Rgrs,544,1.620007459,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Elmira (Corning),128,1.230005663,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Palm Springs,128,0.680003131,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,"Columbia, SC",512,1.150005295,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Laredo,96,0.840003867,1,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Wichita Falls & Lawton,192,0.600002762,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Tucson (Sierra Vista),416,0.710003269,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Roanoke-Lynchburg,736,1.850008517,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Colorado Springs-Pueblo,352,0.880004052,1,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Minot-Bsmrck-Dcknsn(Wlstn),32,0.830003821,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Bangor,256,0.590002716,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Columbus-Tupelo-W Pnt-Hstn,192,0.680003131,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,"Tri-Cities, TN-VA",800,1.790008241,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Alpena,25,0,,,,,4/1/22,5/4/22
IG | partner video | 3.25.22 | mowz (providers),Tampa-St. Pete (Sarasota),64,0.31,,,,,4/1/22,5/4/22
IG | partner video | 3.25.22 | mowz (providers),Syracuse,896,11.18,6,,,,4/1/22,5/4/22
IG | partner video | 3.25.22 | mowz (providers),Madison,1216,10.48,9,,,,4/1/22,5/4/22
IG | partner video | 3.25.22 | mowz (providers),Buffalo,1408,17.6,12,,,,4/1/22,5/4/22
IG | partner video | 3.25.22 | mowz (providers),"Rochester, NY",1056,8.71,7,,,,4/1/22,5/4/22
IG | partner video | 3.25.22 | mowz (providers),Orlando-Daytona Bch-Melbrn,1600,19.12,13,,,,4/1/22,5/4/22
IG | partner video | 3.25.22 | mowz (providers),Pittsburgh,2208,22.08,19,,,,4/1/22,5/4/22
IG | partner video | 3.25.22 | mowz (providers),Miami-Ft. Lauderdale,3072,34.7,31,,,,4/1/22,5/4/22
IG | partner video | 3.25.22 | mowz (providers),Chicago,6560,76.24,74,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Wausau-Rhinelander,448,1.150005295,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Glendive,0,0.010000046,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,South Bend-Elkhart,544,1.550007136,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,San Diego,480,1.470006768,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Greensboro-H.Point-W.Salem,896,4.190019291,3,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Louisville,1088,3.100014273,1,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Denver,1440,14.69006763,1,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Augusta-Aiken,288,0.710003269,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,West Palm Beach-Ft. Pierce,384,2.280010497,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Mankato,0,0.510002348,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Greenvll-Spart-Ashevll-And,1472,4.510020764,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Pittsburgh,832,12.82005902,1,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Utica,192,4.090018831,1,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,San Antonio,832,3.250014963,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Corpus Christi,416,2.290010543,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Phoenix (Prescott),1024,5.560025599,2,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Birmingham (Ann And Tusc),1152,3.4100157,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Bowling Green,64,1.200005525,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Seattle-Tacoma,1696,4.600021179,3,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Traverse City-Cadillac,384,1.430006584,1,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Duluth-Superior,192,1.06000488,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Billings,192,0.510002348,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Peoria-Bloomington,416,1.270005847,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Oklahoma City,1312,2.970013674,,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Sacramnto-Stkton-Modesto,1664,4.180019245,2,,,,4/1/22,5/4/22
Video Retargeting | Southern US | 4.4.22,Norfolk-Portsmth-Newpt Nws,896,1.980009116,1,,,,4/1/22,5/4/22
