campaign_name,impressions,clicks,spend,date_start,dma
Static Retargeting | US | 6.22.22,1,0,0.0,7/4/22,Anchorage
Static Retargeting | US | 6.22.22,8,0,0.02,7/4/22,Atlanta
Static Retargeting | US | 6.22.22,4,0,0.03,7/4/22,Austin
Static Retargeting | US | 6.22.22,8,0,0.03,7/4/22,Baltimore
Static Retargeting | US | 6.22.22,4,0,0.01,7/4/22,Baton Rouge
Static Retargeting | US | 6.22.22,12,0,0.1,7/4/22,Birmingham (Ann And Tusc)
Static Retargeting | US | 6.22.22,17,0,0.06,7/4/22,Boston (Manchester)
Static Retargeting | US | 6.22.22,7,0,0.0,7/4/22,Buffalo
Static Retargeting | US | 6.22.22,6,0,0.01,7/4/22,Charleston-Huntington
Static Retargeting | US | 6.22.22,110,1,0.46,7/4/22,"Charleston, SC"
Static Retargeting | US | 6.22.22,1,0,0.0,7/4/22,Charlotte
Static Retargeting | US | 6.22.22,39,0,0.21,7/4/22,Chicago
Static Retargeting | US | 6.22.22,4,0,0.01,7/4/22,Cincinnati
Static Retargeting | US | 6.22.22,28,0,0.1,7/4/22,Cleveland-Akron (Canton)
Static Retargeting | US | 6.22.22,8,0,0.01,7/4/22,"Columbia, SC"
Static Retargeting | US | 6.22.22,1,0,0.01,7/4/22,"Columbus, GA (Opelika, Al)"
Static Retargeting | US | 6.22.22,10,0,0.03,7/4/22,"Columbus, OH"
Static Retargeting | US | 6.22.22,12,0,0.1,7/4/22,Dallas-Ft. Worth
Static Retargeting | US | 6.22.22,4,0,0.03,7/4/22,Davenport-R.Island-Moline
Static Retargeting | US | 6.22.22,1,0,0.0,7/4/22,Dayton
Static Retargeting | US | 6.22.22,2,0,0.01,7/4/22,Denver
Static Retargeting | US | 6.22.22,85,3,0.45,7/4/22,Des Moines-Ames
Static Retargeting | US | 6.22.22,14,0,0.05,7/4/22,Detroit
Static Retargeting | US | 6.22.22,1,0,0.01,7/4/22,Duluth-Superior
Static Retargeting | US | 6.22.22,3,0,0.0,7/4/22,El Paso (Las Cruces)
Static Retargeting | US | 6.22.22,1,0,0.0,7/4/22,Evansville
Static Retargeting | US | 6.22.22,2,0,0.0,7/4/22,Fresno-Visalia
Static Retargeting | US | 6.22.22,2,0,0.01,7/4/22,Ft. Myers-Naples
Static Retargeting | US | 6.22.22,1,0,0.0,7/4/22,Ft. Smith-Fay-Sprngdl-Rgrs
Static Retargeting | US | 6.22.22,2,0,0.0,7/4/22,Ft. Wayne
Static Retargeting | US | 6.22.22,2,0,0.01,7/4/22,Grand Rapids-Kalmzoo-B.Crk
Static Retargeting | US | 6.22.22,8,0,0.1,7/4/22,Greensboro-H.Point-W.Salem
Static Retargeting | US | 6.22.22,2,0,0.01,7/4/22,Greenville-N.Bern-Washngtn
Static Retargeting | US | 6.22.22,6,0,0.05,7/4/22,Greenvll-Spart-Ashevll-And
Static Retargeting | US | 6.22.22,14,0,0.03,7/4/22,Harlingen-Wslco-Brnsvl-Mca
Static Retargeting | US | 6.22.22,2,0,0.02,7/4/22,Harrisburg-Lncstr-Leb-York
Static Retargeting | US | 6.22.22,1,0,0.0,7/4/22,Harrisonburg
Static Retargeting | US | 6.22.22,1,0,0.0,7/4/22,Hattiesburg-Laurel
Static Retargeting | US | 6.22.22,3,0,0.04,7/4/22,Honolulu
Static Retargeting | US | 6.22.22,1476,12,8.29,7/4/22,Houston
Static Retargeting | US | 6.22.22,2,0,0.0,7/4/22,Indianapolis
Static Retargeting | US | 6.22.22,1,0,0.0,7/4/22,Johnstown-Altoona-St Colge
Static Retargeting | US | 6.22.22,4,0,0.0,7/4/22,Kansas City
Static Retargeting | US | 6.22.22,1,0,0.0,7/4/22,"Lafayette, LA"
Static Retargeting | US | 6.22.22,2,0,0.02,7/4/22,Lansing
Static Retargeting | US | 6.22.22,4,0,0.01,7/4/22,Laredo
Static Retargeting | US | 6.22.22,1,0,0.0,7/4/22,Lexington
Static Retargeting | US | 6.22.22,1,0,0.0,7/4/22,Little Rock-Pine Bluff
Static Retargeting | US | 6.22.22,3,0,0.01,7/4/22,Los Angeles
Static Retargeting | US | 6.22.22,4,0,0.02,7/4/22,Louisville
Static Retargeting | US | 6.22.22,5,0,0.01,7/4/22,Madison
Static Retargeting | US | 6.22.22,3,0,0.01,7/4/22,Memphis
Static Retargeting | US | 6.22.22,5,0,0.03,7/4/22,Miami-Ft. Lauderdale
Static Retargeting | US | 6.22.22,15,0,0.07,7/4/22,Milwaukee
Static Retargeting | US | 6.22.22,11,0,0.08,7/4/22,Minneapolis-St. Paul
Static Retargeting | US | 6.22.22,1,0,0.01,7/4/22,Monroe-El Dorado
Static Retargeting | US | 6.22.22,13,0,0.03,7/4/22,Myrtle Beach-Florence
Static Retargeting | US | 6.22.22,513,4,2.43,7/4/22,New Orleans
Static Retargeting | US | 6.22.22,514,4,2.43,7/4/22,New Orleans
Static Retargeting | US | 6.22.22,29,0,0.14,7/4/22,New York
Static Retargeting | US | 6.22.22,1370,8,6.67,7/4/22,Norfolk-Portsmth-Newpt Nws
Static Retargeting | US | 6.22.22,1,0,0.0,7/4/22,Oklahoma City
Static Retargeting | US | 6.22.22,7,0,0.02,7/4/22,Omaha
Static Retargeting | US | 6.22.22,3,0,0.01,7/4/22,Orlando-Daytona Bch-Melbrn
Static Retargeting | US | 6.22.22,3,0,0.03,7/4/22,Philadelphia
Static Retargeting | US | 6.22.22,4,0,0.0,7/4/22,Phoenix (Prescott)
